BRIGHTFORD LIGHTING
Technical Data


PENNINE BULKHEAD
Model reference: BF-PEN-BH-14


Exterior/interior bulkhead luminaire, corridor and stairwell use.


SPECIFICATION
==================================================
Wattage                          14 W
Output                           1540 lm
Colour temperature               4000 K
CRI                              Ra 80
Beam                             120 deg
Protection                       IP65
Lifetime                         60000 h
Control                          Non-dimmable
Emergency                        Not applicable
Diffuser                         Opal PC, UV stabilised
Body                             Glass-filled polycarbonate
Weight                           0.55 kg


Brightford Lighting. Data subject to change.
