NORDHAVN LYS A/S
Produktdatablad / Product Data Sheet


FJORD PANEL 600x600
Varenummer / Order code: NH-FJD-P66-36-40


Indbygningspanel til systemlofter.
Recessed panel for modular ceilings.


SPECIFIKATIONER / SPECIFICATIONS
----------------------------------------------------------
Systemeffekt / System power                36 W
Lysstrom (armatur) / Luminaire flux        3960 lm
Farvetemperatur / Colour temperature       4000 K
Farvegengivelse / Colour rendering         Ra 80
Spredning / Beam angle                     110 grader / degrees
Kapslingsklasse / Ingress protection       IP40
Levetid L80/B10 / Rated life               50000 timer / hours
Lysdaempning / Dimming                     Ikke daempbar / Non-dimmable
Vaegt / Weight                             2.9 kg


Nordhavn Lys A/S. Ret til aendringer forbeholdes.
